Name,Team,Number,Position,Age,Height,Weight,College,Salary,TF,Rank
Avery Bradley,Boston Celtics,0.0,PG,25.0,6-2,180.0,Texas,7730337.0,True,350.0
Jae Crowder,Boston Celtics,99.0,SF,25.0,6-6,200.0,Marquette,6796117.0,True,337.0
John Holland,Boston Celtics,30.0,SG,27.0,6-5,200.0,Boston University,,True,
R.J. Hunter,Boston Celtics,28.0,SG,22.0,6-5,185.0,Georgia State,1148640.0,True,125.0
Jonas Jerebko,Boston Celtics,8.0,PF,29.0,6-10,200.0,,5000000.0,True,300.0
Amir Johnson,Boston Celtics,90.0,PF,29.0,6-9,200.0,,12000000.0,True,390.0
Jordan Mickey,Boston Celtics,55.0,PF,21.0,6-8,200.0,LSU,1170960.0,True,131.0
Kelly Olynyk,Boston Celtics,41.0,C,25.0,7-0,200.0,Gonzaga,2165160.0,True,194.0
Terry Rozier,Boston Celtics,12.0,PG,22.0,6-2,190.0,Louisville,1824360.0,True,175.0
Marcus Smart,Boston Celtics,36.0,PG,22.0,6-4,200.0,Oklahoma State,3431040.0,True,257.0
Jared Sullinger,Boston Celtics,7.0,C,24.0,6-9,200.0,Ohio State,2569260.0,True,214.0
Isaiah Thomas,Boston Celtics,4.0,PG,27.0,5-9,185.0,Washington,6912869.0,True,338.0
Evan Turner,Boston Celtics,11.0,SG,27.0,6-7,200.0,Ohio State,3425510.0,True,255.5
James Young,Boston Celtics,13.0,SG,20.0,6-6,200.0,Kentucky,1749840.0,True,173.0
Tyler Zeller,Boston Celtics,44.0,C,26.0,7-0,200.0,North Carolina,2616975.0,True,216.0
Bojan Bogdanovic,Brooklyn Nets,44.0,SG,27.0,6-8,200.0,,3425510.0,False,255.5
Markel Brown,Brooklyn Nets,22.0,SG,24.0,6-3,190.0,Oklahoma State,845059.0,False,53.5
Wayne Ellington,Brooklyn Nets,21.0,SG,28.0,6-4,200.0,North Carolina,1500000.0,False,158.5
Rondae Hollis-Jefferson,Brooklyn Nets,24.0,SG,21.0,6-7,200.0,Arizona,1335480.0,False,147.0
Jarrett Jack,Brooklyn Nets,2.0,PG,32.0,6-3,200.0,Georgia Tech,6300000.0,False,331.0
Sergey Karasev,Brooklyn Nets,10.0,SG,22.0,6-7,200.0,,1599840.0,False,165.0
Sean Kilpatrick,Brooklyn Nets,6.0,SG,26.0,6-4,200.0,Cincinnati,134215.0,False,8.0
Shane Larkin,Brooklyn Nets,0.0,PG,23.0,5-11,175.0,Miami (FL),1500000.0,False,158.5
Brook Lopez,Brooklyn Nets,11.0,C,28.0,7-0,200.0,Stanford,19689000.0,False,435.5
Chris McCullough,Brooklyn Nets,1.0,PF,21.0,6-11,200.0,Syracuse,1140240.0,False,121.5
Willie Reed,Brooklyn Nets,33.0,PF,26.0,6-10,200.0,Saint Louis,947276.0,False,80.0
Thomas Robinson,Brooklyn Nets,41.0,PF,25.0,6-10,200.0,Kansas,981348.0,False,99.5
Henry Sims,Brooklyn Nets,14.0,C,26.0,6-10,200.0,Georgetown,947276.0,False,80.0
Donald Sloan,Brooklyn Nets,15.0,PG,28.0,6-3,200.0,Texas A&M,947276.0,False,80.0
Thaddeus Young,Brooklyn Nets,30.0,PF,27.0,6-8,200.0,Georgia Tech,11235955.0,False,383.5
Arron Afflalo,New York Knicks,4.0,SG,30.0,6-5,200.0,UCLA,8000000.0,False,354.0
Lou Amundson,New York Knicks,17.0,PF,33.0,6-9,200.0,UNLV,1635476.0,False,166.0
Thanasis Antetokounmpo,New York Knicks,43.0,SF,23.0,6-7,200.0,,30888.0,False,1.0
Carmelo Anthony,New York Knicks,7.0,SF,32.0,6-8,200.0,Syracuse,22875000.0,False,444.0
Jose Calderon,New York Knicks,3.0,PG,34.0,6-3,200.0,,7402812.0,False,346.0
Cleanthony Early,New York Knicks,11.0,SF,25.0,6-8,200.0,Wichita State,845059.0,False,53.5
Langston Galloway,New York Knicks,2.0,SG,24.0,6-2,200.0,Saint Joseph's,845059.0,False,53.5
Jerian Grant,New York Knicks,13.0,PG,23.0,6-4,195.0,Notre Dame,1572360.0,False,163.0
Robin Lopez,New York Knicks,8.0,C,28.0,7-0,200.0,Stanford,12650000.0,False,396.0
Kyle O'Quinn,New York Knicks,9.0,PF,26.0,6-10,200.0,Norfolk State,3750000.0,False,264.5
Kristaps Porzingis,New York Knicks,6.0,PF,20.0,7-3,200.0,,4131720.0,False,280.0
Kevin Seraphin,New York Knicks,1.0,C,26.0,6-10,200.0,,2814000.0,False,220.5
Lance Thomas,New York Knicks,42.0,SF,28.0,6-8,200.0,Duke,1636842.0,False,167.0
Sasha Vujacic,New York Knicks,18.0,SG,32.0,6-7,195.0,,947276.0,False,80.0
Derrick Williams,New York Knicks,23.0,PF,25.0,6-8,200.0,Arizona,4000000.0,False,274.0
Tony Wroten,New York Knicks,5.0,SG,23.0,6-6,200.0,Washington,167406.0,False,9.0
Elton Brand,Philadelphia 76ers,42.0,PF,37.0,6-9,200.0,Duke,,False,
Isaiah Canaan,Philadelphia 76ers,0.0,PG,25.0,6-0,200.0,Murray State,947276.0,False,80.0
Robert Covington,Philadelphia 76ers,33.0,SF,25.0,6-9,200.0,Tennessee State,1000000.0,False,104.5
Joel Embiid,Philadelphia 76ers,21.0,C,22.0,7-0,200.0,Kansas,4626960.0,False,293.0
Jerami Grant,Philadelphia 76ers,39.0,SF,22.0,6-8,200.0,Syracuse,845059.0,False,53.5
Richaun Holmes,Philadelphia 76ers,22.0,PF,22.0,6-10,200.0,Bowling Green,1074169.0,False,113.0
Carl Landry,Philadelphia 76ers,7.0,PF,32.0,6-9,200.0,Purdue,6500000.0,False,334.5
Kendall Marshall,Philadelphia 76ers,5.0,PG,24.0,6-4,200.0,North Carolina,2144772.0,False,192.0
T.J. McConnell,Philadelphia 76ers,12.0,PG,24.0,6-2,200.0,Arizona,525093.0,False,32.0
Nerlens Noel,Philadelphia 76ers,4.0,PF,22.0,6-11,200.0,Kentucky,3457800.0,False,258.0
Jahlil Okafor,Philadelphia 76ers,8.0,C,20.0,6-11,200.0,Duke,4582680.0,False,292.0
Ish Smith,Philadelphia 76ers,1.0,PG,27.0,6-0,175.0,Wake Forest,947276.0,False,80.0
